City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
266,Qui Nhon,13.7667,109.2333,72.37,86,41,18.88,VN,2021-12-12 19:05:54
267,Saskylakh,71.9167,114.0833,-44.88,100,67,3.2,RU,2021-12-12 19:07:55
268,Port Elizabeth,-33.918,25.5701,72.1,93,100,9.1,ZA,2021-12-12 19:08:55
269,Mushie,-3.0167,16.9,70.65,96,100,1.45,CD,2021-12-12 19:08:56
270,Copiapo,-27.3667,-70.3333,65.89,30,0,13.15,CL,2021-12-12 19:08:56
271,Atbasar,51.8,68.3333,-1.37,98,15,5.01,KZ,2021-12-12 19:08:56
272,Taft,31.7471,54.2088,40.95,45,0,4.61,IR,2021-12-12 19:07:16
273,Dawlatabad,36.4141,64.9053,46.36,65,100,1.21,AF,2021-12-12 19:08:57
274,Yarim,14.298,44.3779,45.77,45,0,5.26,YE,2021-12-12 19:08:57
275,Valdivia,-39.8142,-73.2459,59.09,57,61,8.5,CL,2021-12-12 19:08:57
276,Bereda,43.2686,-7.5406,50.45,100,84,1.28,ES,2021-12-12 19:08:58
277,Richards Bay,-28.783,32.0377,72.59,82,100,10.36,ZA,2021-12-12 19:08:58
278,Arraial Do Cabo,-22.9661,-42.0278,82.26,69,75,17.27,BR,2021-12-12 19:08:58
279,Nelson Bay,-32.7167,152.15,62.01,85,98,1.01,AU,2021-12-12 19:08:59
280,Hinton,53.4001,-117.5857,22.1,77,100,3.96,CA,2021-12-12 19:08:59
281,Muli,2.9167,73.5667,81.55,75,100,11.48,MV,2021-12-12 19:08:59
282,Fenoarivo Atsinanana,-17.3667,49.4167,75.52,81,52,4.12,MG,2021-12-12 19:09:00
283,Kizukuri,40.8061,140.3861,33.12,60,100,27.69,JP,2021-12-12 19:09:00
284,Ketchikan,55.3422,-131.6461,36.07,55,20,11.5,US,2021-12-12 19:09:00
285,Altay,47.8667,88.1167,10.17,59,82,6.44,CN,2021-12-12 19:09:01
286,Benguela,-12.5763,13.4055,78.53,81,66,7.09,AO,2021-12-12 19:09:01
287,Luwuk,-0.9516,122.7875,78.1,85,99,3.6,ID,2021-12-12 19:04:23
288,Longyearbyen,78.2186,15.6401,31.84,80,75,17.27,SJ,2021-12-12 19:09:02
289,Nanortalik,60.1432,-45.2371,21.72,79,19,8.81,GL,2021-12-12 19:09:02
290,Kerman,30.2832,57.0788,47.3,35,0,4.45,IR,2021-12-12 19:09:03
